Sat 26 Jul , Inter Limeira , 0 - 1 , Goiatuba EC-
Sat 26 Jul , Itabirito , 1 - 2 , Monte Azul+
Sat 26 Jul , Maracana , 1 - 0 , Tocantinopolis-
Sat 26 Jul , Nova Iguacu , 1 - 1 , Porto Vitória-
Sat 26 Jul , Operario MS , 0 - 2 , Cianorte-
Sat 26 Jul , Portuguesa , 3 - 0 , Boavista+
Sat 26 Jul , Pouso Alegre , 0 - 2 , Agua Santa-
Sat 26 Jul , Rio Branco ES , 3 - 0 , Marica+
Sat 26 Jul , Sampaio Correa , 1 - 1 , Iguatu-
Sat 26 Jul , Aparecidense , 2 - 1 , Capital+
Sat 26 Jul , Ceilandia , 2 - 0 , Goianesia-
Sat 26 Jul , Luverdense , 1 - 0 , Goiania-
Sat 26 Jul , Porto Velho , 0 - 3 , Mixto+
Sun 27 Jul , America RN , 2 - 0 , Horizonte-
Sun 27 Jul , ASA , 3 - 0 , Juazeirense+
Sun 27 Jul , Azuriz , 0 - 0 , Sao Luiz-
Sun 27 Jul , Barcelona BA , 0 - 1 , Penedense-
Sun 27 Jul , Barra FC , 0 - 1 , Brasil de P.-
Sun 27 Jul , EC Sao Jose , 1 - 1 , Marcilio Dias-
Sun 27 Jul , Ferroviario , 0 - 0 , Central SC-
Sun 27 Jul , Guarany de Bage , 2 - 1 , Joinville+
Sun 27 Jul , Santa Cruz , 3 - 0 , Treze+
Sun 27 Jul , Sergipe , 1 - 0 , Jequie-
Sun 27 Jul , Sousa , 1 - 2 , Santa C. Natal+
Sun 27 Jul , Uniao C. , 1 - 0 , Lagarto-
Sun 27 Jul , GAS , 1 - 1 , Aguia de Maraba-
Sun 27 Jul , Independencia , 2 - 1 , Manauara+
Sun 27 Jul , Manaus , 1 - 0 , Trem-
