Sun 5 Oct , Orange County , 0 - 0 , El Paso
Sun 5 Oct , Phoenix Rising , 0 - 1 , New Mexico
Sun 5 Oct , Rhode Island , 3 - 1 , Las Vegas L.
Wed 8 Oct , Oakland Roots , 1 - 3 , Hartford A.
Fri 10 Oct , North Carolina , 0 - 2 , Phoenix Rising
Sat 11 Oct , Detroit City , 0 - 1 , Loudoun Utd
Sat 11 Oct , Hartford A. , 3 - 2 , Sacramento R.
Sat 11 Oct , Lexington , 1 - 2 , El Paso
Sat 11 Oct , Pittsburgh , 2 - 1 , Indy Eleven
Sat 11 Oct , Rhode Island , 5 - 0 , Tampa Bay
Sat 11 Oct , Louisville City , 1 - 0 , Miami FC
Sun 12 Oct , FC Tulsa , 2 - 0 , San Antonio
Sun 12 Oct , New Mexico , 3 - 3 , Orange County
Sun 12 Oct , Las Vegas L. , 2 - 2 , Oakland Roots
Mon 13 Oct , Charleston , 5 - 0 , Colorado S.
Thu 16 Oct , Orange County , 1 - 0 , San Antonio
Fri 17 Oct , Lexington , 2 - 2 , Sacramento R.
Sat 18 Oct , Charleston , 1 - 1 , Detroit City
Sat 18 Oct , North Carolina , 0 - 0 , Rhode Island
Sat 18 Oct , Tampa Bay , 3 - 2 , Hartford A.
Sun 19 Oct , Colorado S. , 1 - 0 , Las Vegas L.
Sun 19 Oct , El Paso , 1 - 1 , FC Tulsa
Sun 19 Oct , Indy Eleven , 2 - 1 , Loudoun Utd
Sun 19 Oct , Monterey Bay , 0 - 3 , Pittsburgh
Sun 19 Oct , Orange County , 0 - 0 , Louisville City
Sun 19 Oct , Phoenix Rising , 1 - 0 , San Antonio
Sun 19 Oct , Birmingham L. , 2 - 3 , Miami FC
Sun 19 Oct , New Mexico , 3 - 3 , Oakland Roots
Thu 23 Oct , Sacramento R. , 1 - 0 , Charleston
Sat 25 Oct , New Mexico , 2 - 1 , Rhode Island
Sat 25 Oct , Charleston , 2 - 1 , Birmingham L.
Sat 25 Oct , Loudoun Utd , 0 - 1 , North Carolina
Sat 25 Oct , Pittsburgh , 0 - 0 , Phoenix Rising
Sat 25 Oct , Louisville City , 1 - 0 , Hartford A.
Sat 25 Oct , Tampa Bay , 1 - 1 , Detroit City
Sun 26 Oct , San Antonio , 5 - 2 , El Paso
Sun 26 Oct , FC Tulsa , 3 - 0 , Colorado S.
Sun 26 Oct , Monterey Bay , 1 - 1 , Las Vegas L.
Sun 26 Oct , Oakland Roots , 3 - 0 , Lexington
Sun 26 Oct , Orange County , 2 - 1 , Indy Eleven
Sun 26 Oct , Sacramento R. , 0 - 1 , Miami 
