Sat 9 Aug , FC Imabari , 3 - 2 , R. Kumamoto
Sat 9 Aug , Oita Trinita , 2 - 2 , Kataller Toyama
Sat 9 Aug , Omiya Ardija , 0 - 1 , JEF Utd Chiba
Sun 10 Aug , Iwaki , 3 - 1 , Jubilo Iwata
Sun 10 Aug , Ehime FC , 0 - 1 , Sagan Tosu
Sun 10 Aug , M. Yamagata , 1 - 2 , Mito Hollyhock
Sun 10 Aug , Vegalta Sendai , 0 - 2 , Tokushima V.
Mon 11 Aug , R. Yamaguchi , 0 - 1 , Ventforet Kofu
Sat 16 Aug , C. Sapporo , 0 - 2 , Blaublitz Akita
Sat 16 Aug , Kataller Toyama , 1 - 2 , FC Imabari
Sat 16 Aug , Mito Hollyhock , 1 - 3 , Jubilo Iwata
Sat 16 Aug , JEF Utd Chiba , 1 - 0 , Tokushima V.
Sat 16 Aug , M. Yamagata , 1 - 0 , Iwaki
Sat 16 Aug , R. Kumamoto , 2 - 1 , Fujieda MYFC
Sat 16 Aug , R. Yamaguchi , 2 - 2 , Vegalta Sendai
Sun 17 Aug , Ventforet Kofu , 2 - 0 , Oita Trinita
Sun 17 Aug , Ehime FC , 0 - 3 , Omiya Ardija
Sun 17 Aug , Sagan Tosu , 1 - 2 , Nagasaki
Sat 23 Aug , Blaublitz Akita , 1 - 2 , FC Imabari
Sat 23 Aug , Iwaki , 4 - 0 , Oita Trinita
Sat 23 Aug , Ventforet Kofu , 1 - 2 , C. Sapporo
Sat 23 Aug , Fujieda MYFC , 4 - 1 , Ehime FC
Sat 23 Aug , Omiya Ardija , 1 - 0 , R. Kumamoto
Sat 23 Aug , Sagan Tosu , 2 - 2 , Mito Hollyhock
Sat 23 Aug , Tokushima V. , 1 - 0 , M. Yamagata
Sat 23 Aug , Jubilo Iwata , 2 - 0 , Kataller Toyama
Sun 24 Aug , V-V. Nagasaki , 1 - 0 , R. Yamaguchi
Sun 24 Aug , Vegalta Sendai , 1 - 0 , JEF Utd Chiba
Sat 30 Aug , C. Sapporo , 1 - 0 , Omiya Ardija
Sat 30 Aug , Mito Hollyhock , 2 - 2 , R. Yamaguchi
Sat 30 Aug , Kataller Toyama , 0 - 1 , R. Kumamoto
Sat 30 Aug , FC Imabari , 0 - 2 , Iwaki
Sat 30 Aug , JEF Utd Chiba , 2 - 1 , Ventforet Kofu
Sat 30 Aug , M. Yamagata , 3 - 2 , Sagan Tosu
Sat 30 Aug , Tokushima V. , 1 - 1 , Blaublitz Akita
Sun 31 Aug , V-V. Nagasaki , 2 - 1 , Fujieda MYFC
Sun 31 Aug , Ehime FC , 1 - 1 , Vegalta Sendai
Sun 31 Aug , Oita Trinita , 0 - 0 , Jubilo Iwata
Sat 13 Sep , C. Sapporo , 1 - 5 , Iwaki
Sat 13 Sep , Fujieda MYFC , 1 - 1 , Oita Trinita
Sat 13 Sep , Vegalta Sendai , 1 - 1 , Mito Hollyhock
Sat 13 Sep , Ventforet Kofu , 2 - 3 , Sagan Tosu
Sat 13 Sep , Jubilo Iwata , 1 - 0 , FC Imabari
Sat 13 Sep , Omiya Ardija , 1 - 2 , Nagasaki
Sun 14 Sep , Blaublitz Akita , 3 - 2 , Ehime FC
Sun 14 Sep , M. Yamagata , 3 - 0 , Kataller Toyama
Sun 14 Sep , R. Yamaguchi , 2 - 1 , JEF Utd Chiba
Mon 15 Sep , R. Kumamoto , 2 - 1 , Tokushima V.
Sat 20 Sep , Fujieda MYFC , 2 - 1 , Jubilo Iwata
Sat 20 Sep , Iwaki , 0 - 0 , Mito Hollyhock
Sat 20 Sep , Vegalta Sendai , 3 - 1 , M. Yamagata
Sat 20 Sep , V-V. Nagasaki , 1 - 1 , Kataller Toyama
Sat 20 Sep , Ventforet Kofu , 1 - 1 , Blaublitz Akita
Sat 20 Sep , Ehime FC , 0 - 1 , JEF Utd Chiba
Sat 20 Sep , Oita Trinita , 1 - 0 , R. Yamaguchi
Sat 20 Sep , Omiya Ardija , 2 - 3 , FC Imabari
Sat 20 Sep , Sagan Tosu , 4 - 2 , R. Kumamoto
Sat 20 Sep , Tokushima V. , 1 - 2 , C. Sapporo
Sat 27 Sep , C. Sapporo , 0 - 3 , Vegalta Sendai
Sat 27 Sep , Iwaki , 2 - 3 , Ventforet Kofu
Sat 27 Sep , JEF Utd Chiba , 2 - 2 , R. Kumamoto
Sat 27 Sep , M. Yamagata , 2 - 1 , R. Yamaguchi
Sat 27 Sep , FC Imabari , 1 - 1 , Sagan Tosu
Sat 27 Sep , Jubilo Iwata , 3 - 4 , Omiya Ardija
Sat 27 Sep , Oita Trinita , 0 - 3 , Ehime FC
Sun 28 Sep , Blaublitz Akita , 0 - 0 , Nagasaki
